geeky,StarWars_fandom,StarWars_knowledge,StarTrek_fandom,StarTrek_knowledge,StarWars_obscure,StarTrek_obscure,familiar,desert_island,age,gender,continent,sector,MDS,sw_score,st_score
2,3,4,3,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.37037037037037035
2,2,2,2,1,FALSE,FALSE,Star Wars,Star Trek,25,Other,Europe,Math/Statistics,FALSE,0.48148148148148145,0.2222222222222222
3,3,2,2,1,FALSE,FALSE,Star Wars,neither,25,Male,Europe,Math/Statistics,FALSE,0.5555555555555556,0.2222222222222222
3,3,2,1,1,FALSE,FALSE,Star Wars,Star Wars,45,Male,Europe,Math/Statistics,FALSE,0.5555555555555556,0.14814814814814814
1,3,3,3,3,FALSE,FALSE,Star Wars,neither,45,Female,North America,Social Sciences,FALSE,0.6296296296296297,0.4444444444444444
3,2,2,2,1,FALSE,FALSE,Star Wars,Star Wars,18,Female,Europe,Math/Statistics,FALSE,0.48148148148148145,0.2222222222222222
3,4,4,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7777777777777778,0.2962962962962963
2,2,2,2,1,FALSE,FALSE,Star Wars,Star Trek,25,Female,Europe,Math/Statistics,FALSE,0.48148148148148145,0.2222222222222222
3,3,3,3,3,FALSE,FALSE,Star Trek,Star Trek,45,Male,North America,Administration/Education,FALSE,0.4444444444444444,0.6296296296296297
3,2,4,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Other,Europe,Math/Statistics,FALSE,0.6296296296296297,0.14814814814814814
1,1,2,1,1,FALSE,FALSE,neither,neither,25,Male,Europe,Math/Statistics,FALSE,0.2222222222222222,0.14814814814814814
3,3,2,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.5555555555555556,0.2962962962962963
3,2,2,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.48148148148148145,0.14814814814814814
4,3,4,1,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2222222222222222
5,5,4,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.8518518518518519,0.2962962962962963
3,3,2,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.5555555555555556,0.14814814814814814
3,3,3,2,2,FALSE,FALSE,Star Wars,Star Wars,35,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2962962962962963
5,5,4,3,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.8518518518518519,0.37037037037037035
4,4,4,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7777777777777778,0.14814814814814814
5,5,4,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.8518518518518519,0.2962962962962963
4,2,2,2,1,FALSE,FALSE,neither,neither,18,Female,Europe,Sociology/Philosophy/Economy,FALSE,0.2962962962962963,0.2222222222222222
1,4,2,2,1,FALSE,FALSE,Star Wars,neither,25,Female,Asia,Math/Statistics,FALSE,0.6296296296296297,0.2222222222222222
3,4,3,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2962962962962963
